CBANK,FREQ,P3,P2,P1,P0
107,4534376095.95,-0.0004,0.005,0.0027,0.9968
108,4540095929.14,-0.0009,0.0061,0.0021,0.9968
109,4544411258.23,-0.0012,0.0067,0.0017,0.9969
110,4549287993.14,-0.0009,0.0062,0.002,0.9968
111,4553704557.01,-0.0012,0.0068,0.0016,0.9969
112,4572097368.95,-0.0021,0.0083,0.0011,0.9968
113,4576528966.44,-0.0023,0.0086,0.0011,0.9968
114,4581424964.62,-0.0014,0.0069,0.0019,0.9968
115,4585956828.53,-0.0018,0.0076,0.0015,0.9969
116,4591845834.31,-0.0018,0.0076,0.0016,0.9967
117,4596313917.89,-0.0018,0.0076,0.0016,0.9967
118,4601347631.83,-0.0007,0.0058,0.0024,0.9967
119,4605920494.43,-0.0007,0.0057,0.0024,0.9967
120,4623487430.05,-0.0018,0.0077,0.0017,0.9967
121,4628045288.68,-0.0012,0.0067,0.0021,0.9967
122,4633100299.97,-0.0015,0.0072,0.0018,0.9966
123,4637764572.5,-0.0015,0.0072,0.0019,0.9966
124,4643893880.58,-0.0015,0.0073,0.0018,0.9967
125,4648493657,-0.0013,0.0069,0.0021,0.9967
126,4653698768.04,-0.0009,0.0062,0.0023,0.9966
127,4658402922.3,-0.0019,0.0079,0.0015,0.9967
128,4673946796.88,-0.0011,0.0065,0.0023,0.9965
129,4678773030.3,-0.0021,0.0083,0.0017,0.9965
130,4684007684.14,-0.0015,0.0072,0.002,0.9965
131,4688950926.82,-0.0015,0.0073,0.002,0.9965
132,4695002858.28,-0.0018,0.0078,0.0019,0.9965
133,4699864447.03,-0.0019,0.0081,0.0017,0.9966
134,4705279358.57,-0.0014,0.0072,0.002,0.9965
135,4710255283.37,-0.0014,0.0071,0.0022,0.9966
136,4738049089.34,-0.002,0.0083,0.0016,0.9965
137,4743054987.87,-0.0016,0.0075,0.0021,0.9964
138,4748527961.97,-0.002,0.0085,0.0015,0.9966
139,4753653951.8,-0.002,0.0083,0.0016,0.9965
140,4760069533.55,-0.0013,0.0069,0.0025,0.9964
141,4765114848.95,-0.002,0.0084,0.0017,0.9964
142,4770775135.05,-0.0024,0.0092,0.0013,0.9964
